Time,Watt,Humidity,Pressure,Temperature
07/27/2024 02:01:00,1.4,89,1013.2,21
07/27/2024 02:02:00,1.4,89,1013.2,21
07/27/2024 02:03:00,1.35,89,1013.2,21
07/27/2024 02:04:00,1.35,89,1013.2,21
07/27/2024 02:05:00,1.35,89,1013.2,21
07/27/2024 02:06:00,1.35,89,1013.2,21
07/27/2024 02:07:00,1.34,89,1013.2,21
07/27/2024 02:08:00,1.44,89,1013.2,21
07/27/2024 02:09:00,1.35,89,1013.2,21
07/27/2024 02:10:00,1.3833333,89,1013.2,21
07/27/2024 02:11:00,1.35,89,1013.2,21
07/27/2024 02:12:00,1.35,89,1013.2,21
07/27/2024 02:13:00,1.35,89,1013.2,21
07/27/2024 02:14:00,1.3333334,89,1013.2,21
07/27/2024 02:15:00,1.36,89,1013.2,21
07/27/2024 02:16:00,1.35,89,1013.2,21
07/27/2024 02:17:00,1.35,89,1013.2,21
07/27/2024 02:18:00,1.35,89,1013.2,21
07/27/2024 02:19:00,1.35,89,1013.2,21
07/27/2024 02:20:00,1.35,89,1013.2,21
07/27/2024 02:21:00,1.4,89,1013.2,21
07/27/2024 02:22:00,1.5,89,1013.2,21
07/27/2024 02:23:00,1.3857143,89,1013.2,21
07/27/2024 02:24:00,1.3857143,89,1013.2,21
07/27/2024 02:25:00,1.3,89,1013.2,21
07/27/2024 02:26:00,1.4,89,1013.2,21
07/27/2024 02:27:00,1.35,89,1013.2,21
07/27/2024 02:28:00,1.35,89,1013.2,21
07/27/2024 02:29:00,1.35,89,1013.2,21
07/27/2024 02:30:00,1.35,89,1013.2,21
07/27/2024 02:31:00,1.35,89,1013.2,21
07/27/2024 02:32:00,1.45,89,1013.2,21
07/27/2024 02:33:00,1.4,89,1013.2,21
07/27/2024 02:34:00,1.4,89,1013.2,21
07/27/2024 02:35:00,1.35,89,1013.2,21
07/27/2024 02:36:00,1.4,89,1013.2,21
07/27/2024 02:37:00,1.4,89,1013.2,21
07/27/2024 02:38:00,1.35,89,1013.2,21
07/27/2024 02:39:00,1.35,89,1013.2,21
07/27/2024 02:40:00,1.35,89,1013.2,21
07/27/2024 02:41:00,1.35,89,1013.2,21
07/27/2024 02:42:00,1.35,89,1013.2,21
07/27/2024 02:43:00,1.35,89,1013.2,21
07/27/2024 02:44:00,1.35,89,1013.2,21
07/27/2024 02:45:00,1.35,89,1013.2,21
07/27/2024 02:46:00,1.3333334,89,1013.2,21
07/27/2024 02:47:00,1.3666667,89,1013.2,21
07/27/2024 02:48:00,1.35,89,1013.2,21
07/27/2024 02:49:00,1.35,89,1013.2,21
07/27/2024 02:50:00,1.35,89,1013.2,21
07/27/2024 02:51:00,1.45,89,1013.2,21
07/27/2024 02:52:00,1.45,89,1013.2,21
07/27/2024 02:53:00,1.35,89,1013.2,21
07/27/2024 02:54:00,1.35,89,1013.2,21
07/27/2024 02:55:00,1.35,89,1013.2,21
07/27/2024 02:56:00,1.35,89,1013.2,21
07/27/2024 02:57:00,1.35,89,1013.2,21
07/27/2024 02:58:00,1.35,89,1013.2,21
07/27/2024 02:59:00,1.38,89,1013.2,21
07/27/2024 03:00:00,1.4,89,1013.2,21
07/27/2024 03:01:00,1.4,89,1013.2,21
07/27/2024 03:02:00,1.3833333,89,1013.2,21
07/27/2024 03:03:00,1.3,89,1013.2,21
07/27/2024 03:04:00,1.4,89,1013.2,21
07/27/2024 03:05:00,1.4,89,1013.2,21
07/27/2024 03:06:00,1.35,89,1013.2,21
07/27/2024 03:07:00,1.35,89,1013.2,21
07/27/2024 03:08:00,1.35,89,1013.2,21
07/27/2024 03:09:00,1.35,89,1013.2,21
07/27/2024 03:10:00,1.45,89,1013.2,21
07/27/2024 03:11:00,1.3333334,89,1013.2,21
07/27/2024 03:12:00,1.3666667,89,1013.2,21
07/27/2024 03:13:00,1.45,89,1013.2,21
07/27/2024 03:14:00,1.45,89,1013.2,21
07/27/2024 03:15:00,1.35,89,1013.2,21
07/27/2024 03:16:00,1.35,89,1013.2,21
07/27/2024 03:17:00,1.35,89,1013.2,21
07/27/2024 03:18:00,1.35,89,1013.2,21
07/27/2024 03:19:00,1.35,87,1013.2,21
07/27/2024 03:20:00,1.45,87,1013.2,21
07/27/2024 03:21:00,1.375,87,1013.2,21
07/27/2024 03:22:00,1.35,87,1013.2,21
07/27/2024 03:23:00,1.3333334,87,1013.2,21
07/27/2024 03:24:00,1.3666667,87,1013.2,21
07/27/2024 03:25:00,1.35,87,1013.2,21
07/27/2024 03:26:00,1.35,87,1013.2,21
07/27/2024 03:27:00,1.35,87,1013.2,21
07/27/2024 03:28:00,1.4,87,1013.2,21
07/27/2024 03:29:00,1.4,87,1013.2,21
07/27/2024 03:30:00,1.45,87,1013.2,21
07/27/2024 03:31:00,1.35,87,1013.2,21
07/27/2024 03:32:00,1.35,87,1013.2,21
07/27/2024 03:33:00,1.35,87,1013.2,21
07/27/2024 03:34:00,1.35,87,1013.2,21
07/27/2024 03:35:00,1.35,87,1013.2,21
07/27/2024 03:36:00,1.35,87,1013.2,21
07/27/2024 03:37:00,1.35,87,1013.2,21
07/27/2024 03:38:00,1.35,87,1013.2,21
07/27/2024 03:39:00,1.4,87,1013.2,21
07/27/2024 03:40:00,1.4,87,1013.2,21
07/27/2024 03:41:00,1.4,87,1013.2,21
07/27/2024 03:42:00,1.45,87,1013.2,21
07/27/2024 03:43:00,1.4,87,1013.2,21
07/27/2024 03:44:00,1.45,87,1013.2,21
07/27/2024 03:45:00,1.375,87,1013.2,21
07/27/2024 03:46:00,1.38,87,1013.2,21
07/27/2024 03:47:00,1.38,87,1013.2,21
07/27/2024 03:48:00,1.3666667,87,1013.2,21
07/27/2024 03:49:00,1.3,87,1013.2,21
07/27/2024 03:50:00,1.3666667,87,1013.2,21
07/27/2024 03:51:00,1.35,87,1013.2,21
07/27/2024 03:52:00,1.3,87,1013.2,21
07/27/2024 03:53:00,1.3666667,87,1013.2,21
07/27/2024 03:54:00,1.42,87,1013.2,21
07/27/2024 03:55:00,1.42,87,1013.2,21
07/27/2024 03:56:00,1.42,87,1013.2,21
07/27/2024 03:57:00,1.3,87,1013.2,21
07/27/2024 03:58:00,1.3571428,87,1013.2,21
07/27/2024 03:59:00,1.3571428,87,1013.2,21
07/27/2024 04:00:00,1.35,87,1013.2,21
07/27/2024 04:01:00,1.375,87,1013.2,21
07/27/2024 04:02:00,1.35,87,1013.2,21
07/27/2024 04:03:00,1.35,87,1013.2,21
07/27/2024 04:04:00,1.35,87,1013.2,21
07/27/2024 04:05:00,1.35,87,1013.2,21
07/27/2024 04:06:00,1.35,87,1013.2,21
07/27/2024 04:07:00,1.35,87,1013.2,21
